"SUBSCRIPTION_PLAN_ID#","SUBSCRIPTION_PLAN_FAMILY_ID#","SUBSCRIPTION_PLAN_DESC","SUBSCRIPTION_PLAN_FAMILY_DESC","QUOTA","SPEED","PRICE_PLAN_PRICE","SUBSCRIPTION_PLAN_START_TIME","SUBSCRIPTION_PLAN_END_TIME","SUBSCRIPTION_PLAN_FAMILY_START_TIME","SUBSCRIPTION_PLAN_FAMILY_END_TIME"
460465745,709010,Sub-Plan_460466645,Plan_Family709910,"200",30.0,290.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460472627,460472619,Sub-Plan_460473527,Plan_Family460473519,"250",30.0,0.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460475589,709009,Sub-Plan_460476489,Plan_Family709909,"140",30.0,1360.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460005078,460005066,Sub-Plan_460005978,Plan_Family460005966,"140",30.0,0.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
879037,709016,Sub-Plan_879937,Plan_Family709916,"250",70.0,530.0,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000
460473793,460473791,Sub-Plan_460474693,Plan_Family460474691,"140",30.0,0.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460467828,709008,Sub-Plan_460468728,Plan_Family709908,"400",30.0,570.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460469440,709016,Sub-Plan_460470340,Plan_Family709916,"400",30.0,570.0,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000
819004,709011,Sub-Plan_819904,Plan_Family709911,"250",30.0,360.0,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000
460477655,709008,Sub-Plan_460478555,Plan_Family709908,"7200",30.0,8925.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460465744,709009,Sub-Plan_460466644,Plan_Family709909,"200",30.0,290.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
819050,709008,Sub-Plan_819950,Plan_Family709908,"100",30.0,195.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460475569,709008,Sub-Plan_460476469,Plan_Family709908,"140",30.0,1360.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
819066,709009,Sub-Plan_819966,Plan_Family709909,"250",100.0,700.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460475818,460475817,Sub-Plan_460476718,Plan_Family460476717,"140",30.0,0.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460465743,709008,Sub-Plan_460466643,Plan_Family709908,"200",30.0,290.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460477658,709009,Sub-Plan_460478558,Plan_Family709909,"140",30.0,6270.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
879027,709015,Sub-Plan_879927,Plan_Family709915,"600",30.0,850.0,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000
879006,709016,Sub-Plan_879906,Plan_Family709916,"140",30.0,210.0,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000
460473797,460473795,Sub-Plan_460474697,Plan_Family460474695,"140",30.0,0.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460477653,709008,Sub-Plan_460478553,Plan_Family709908,"3000",30.0,3960.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460475597,709010,Sub-Plan_460476497,Plan_Family709910,"140",70.0,1560.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460484395,709016,Sub-Plan_460485295,Plan_Family709916,"200",30.0,290.0,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000,2017-01-01 02:00:00.000,2037-01-01 02:00:00.000
460475914,460475913,Sub-Plan_460476814,Plan_Family460476813,"250",30.0,0.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
819052,709008,Sub-Plan_819952,Plan_Family709908,"600",30.0,850.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460466951,709010,Sub-Plan_460467851,Plan_Family709910,"1TB",200.0,1760.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
460477670,709010,Sub-Plan_460478570,Plan_Family709910,"3000",70.0,5830.0,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000,2017-01-01 02:00:00.000,2036-12-31 23:59:59.000
